block,pika_treatment,posion_plant_treatment,plant,bites_steps_ratio,num,yak_num,month
2,pika,No S. chamaejasme,grasses,0.27,21,yak_2,August
2,pika,No S. chamaejasme,forbs,0.3,22,yak_2,August
3,pika,No S. chamaejasme,sedges,0.51,5,yak_1,June
3,pika,No S. chamaejasme,grasses,0.19,6,yak_1,June
3,pika,No S. chamaejasme,forbs,0.15,7,yak_1,June
3,pika,No S. chamaejasme,sedges,0.54,8,yak_2,June
3,pika,No S. chamaejasme,grasses,0.29,9,yak_2,June
3,pika,No S. chamaejasme,forbs,0.24,10,yak_2,June
3,pika,No S. chamaejasme,sedges,0.47,11,yak_1,July
3,pika,No S. chamaejasme,grasses,0.2,12,yak_1,July
3,pika,No S. chamaejasme,forbs,0.04,13,yak_1,July
3,pika,No S. chamaejasme,sedges,0.58,14,yak_2,July
3,pika,No S. chamaejasme,grasses,0.28,15,yak_2,July
3,pika,No S. chamaejasme,forbs,0.14,16,yak_2,July
3,pika,No S. chamaejasme,sedges,0.78,17,yak_1,August
3,pika,No S. chamaejasme,grasses,0.34,18,yak_1,August
3,pika,No S. chamaejasme,forbs,0.23,19,yak_1,August
3,pika,No S. chamaejasme,sedges,0.59,20,yak_2,August
3,pika,No S. chamaejasme,grasses,0.26,21,yak_2,August
3,pika,No S. chamaejasme,forbs,0.25,22,yak_2,August
4,pika,No S. chamaejasme,sedges,0.4,5,yak_1,June
4,pika,No S. chamaejasme,grasses,0.21,6,yak_1,June
4,pika,No S. chamaejasme,forbs,0.12,7,yak_1,June
4,pika,No S. chamaejasme,sedges,0.58,8,yak_2,June
4,pika,No S. chamaejasme,grasses,0.32,9,yak_2,June
4,pika,No S. chamaejasme,forbs,0.19,10,yak_2,June
4,pika,No S. chamaejasme,sedges,0.61,11,yak_1,July
4,pika,No S. chamaejasme,grasses,0.24,12,yak_1,July
4,pika,No S. chamaejasme,forbs,0.07,13,yak_1,July
4,pika,No S. chamaejasme,sedges,0.29,14,yak_2,July
4,pika,No S. chamaejasme,grasses,0.31,15,yak_2,July
4,pika,No S. chamaejasme,forbs,0.07,16,yak_2,July
4,pika,No S. chamaejasme,sedges,0.34,17,yak_1,August
4,pika,No S. chamaejasme,grasses,0.32,18,yak_1,August
4,pika,No S. chamaejasme,forbs,0.16,19,yak_1,August
4,pika,No S. chamaejasme,sedges,0.56,20,yak_2,August
4,pika,No S. chamaejasme,grasses,0.37,21,yak_2,August
4,pika,No S. chamaejasme,forbs,0.34,22,yak_2,August
1,no pika,S. chamaejasme,sedges,0.23,5,yak_1,June
1,no pika,S. chamaejasme,grasses,0.11,6,yak_1,June
1,no pika,S. chamaejasme,forbs,0.15,7,yak_1,June
1,no pika,S. chamaejasme,sedges,0.27,8,yak_2,June
1,no pika,S. chamaejasme,grasses,0.12,9,yak_2,June
1,no pika,S. chamaejasme,forbs,0.11,10,yak_2,June
1,no pika,S. chamaejasme,sedges,0.29,11,yak_1,July
1,no pika,S. chamaejasme,grasses,0.17,12,yak_1,July
1,no pika,S. chamaejasme,forbs,0.21,13,yak_1,July
1,no pika,S. chamaejasme,sedges,0.38,14,yak_2,July
1,no pika,S. chamaejasme,grasses,0.14,15,yak_2,July
1,no pika,S. chamaejasme,forbs,0.13,16,yak_2,July
1,no pika,S. chamaejasme,sedges,0.33,17,yak_1,August
1,no pika,S. chamaejasme,grasses,0.14,18,yak_1,August
1,no pika,S. chamaejasme,forbs,0.14,19,yak_1,August
1,no pika,S. chamaejasme,sedges,0.27,20,yak_2,August
1,no pika,S. chamaejasme,grasses,0.13,21,yak_2,August
1,no pika,S. chamaejasme,forbs,0.18,22,yak_2,August
2,no pika,S. chamaejasme,sedges,0.42,5,yak_1,June
2,no pika,S. chamaejasme,grasses,0.1,6,yak_1,June
2,no pika,S. chamaejasme,forbs,0.21,7,yak_1,June
2,no pika,S. chamaejasme,sedges,0.21,8,yak_2,June
2,no pika,S. chamaejasme,grasses,0.19,9,yak_2,June
2,no pika,S. chamaejasme,forbs,0.26,10,yak_2,June
2,no pika,S. chamaejasme,sedges,0.4,11,yak_1,July
2,no pika,S. chamaejasme,grasses,0.15,12,yak_1,July
2,no pika,S. chamaejasme,forbs,0.12,13,yak_1,July
2,no pika,S. chamaejasme,sedges,0.29,14,yak_2,July
2,no pika,S. chamaejasme,grasses,0.1,15,yak_2,July
2,no pika,S. chamaejasme,forbs,0.13,16,yak_2,July
2,no pika,S. chamaejasme,sedges,0.29,17,yak_1,August
2,no pika,S. chamaejasme,grasses,0.11,18,yak_1,August
2,no pika,S. chamaejasme,forbs,0.09,19,yak_1,August
2,no pika,S. chamaejasme,sedges,0.47,20,yak_2,August
2,no pika,S. chamaejasme,grasses,0.13,21,yak_2,August
2,no pika,S. chamaejasme,forbs,0.2,22,yak_2,August
3,no pika,S. chamaejasme,sedges,0.2,5,yak_1,June
3,no pika,S. chamaejasme,grasses,0.21,6,yak_1,June
3,no pika,S. chamaejasme,forbs,0.21,7,yak_1,June
3,no pika,S. chamaejasme,sedges,0.2,8,yak_2,June
3,no pika,S. chamaejasme,grasses,0.15,9,yak_2,June
3,no pika,S. chamaejasme,forbs,0.05,10,yak_2,June
3,no pika,S. chamaejasme,sedges,0.21,11,yak_1,July
3,no pika,S. chamaejasme,grasses,0.22,12,yak_1,July
3,no pika,S. chamaejasme,forbs,0.15,13,yak_1,July
3,no pika,S. chamaejasme,sedges,0.32,14,yak_2,July
3,no pika,S. chamaejasme,grasses,0.18,15,yak_2,July
3,no pika,S. chamaejasme,forbs,0.14,16,yak_2,July
3,no pika,S. chamaejasme,sedges,0.31,17,yak_1,August
3,no pika,S. chamaejasme,grasses,0.23,18,yak_1,August
3,no pika,S. chamaejasme,forbs,0.08,19,yak_1,August
3,no pika,S. chamaejasme,sedges,0.24,20,yak_2,August
3,no pika,S. chamaejasme,grasses,0.17,21,yak_2,August
3,no pika,S. chamaejasme,forbs,0.07,22,yak_2,August
4,no pika,S. chamaejasme,sedges,0.29,5,yak_1,June
4,no pika,S. chamaejasme,grasses,0.14,6,yak_1,June
4,no pika,S. chamaejasme,forbs,0.29,7,yak_1,June
4,no pika,S. chamaejasme,sedges,0.14,8,yak_2,June
4,no pika,S. chamaejasme,grasses,0.1,9,yak_2,June
4,no pika,S. chamaejasme,forbs,0.16,10,yak_2,June
4,no pika,S. chamaejasme,sedges,0.21,11,yak_1,July
4,no pika,S. chamaejasme,grasses,0.17,12,yak_1,July
4,no pika,S. chamaejasme,forbs,0.11,13,yak_1,July
4,no pika,S. chamaejasme,sedges,0.26,14,yak_2,July
4,no pika,S. chamaejasme,grasses,0.22,15,yak_2,July
4,no pika,S. chamaejasme,forbs,0.15,16,yak_2,July
4,no pika,S. chamaejasme,sedges,0.2,17,yak_1,August
4,no pika,S. chamaejasme,grasses,0.12,18,yak_1,August
4,no pika,S. chamaejasme,forbs,0.11,19,yak_1,August
4,no pika,S. chamaejasme,sedges,0.2,20,yak_2,August
4,no pika,S. chamaejasme,grasses,0.26,21,yak_2,August
4,no pika,S. chamaejasme,forbs,0.12,22,yak_2,August
1,pika,S. chamaejasme,sedges,0.51,5,yak_1,June
1,pika,S. chamaejasme,grasses,0.22,6,yak_1,June
1,pika,S. chamaejasme,forbs,0.21,7,yak_1,June
1,pika,S. chamaejasme,sedges,0.45,8,yak_2,June
1,pika,S. chamaejasme,grasses,0.31,9,yak_2,June
1,pika,S. chamaejasme,forbs,0.22,10,yak_2,June
1,pika,S. chamaejasme,sedges,0.87,11,yak_1,July
1,pika,S. chamaejasme,grasses,0.39,12,yak_1,July
1,pika,S. chamaejasme,forbs,0.47,13,yak_1,July
1,pika,S. chamaejasme,sedges,0.51,14,yak_2,July
1,pika,S. chamaejasme,grasses,0.3,15,yak_2,July
1,pika,S. chamaejasme,forbs,0.12,16,yak_2,July
1,pika,S. chamaejasme,sedges,0.45,17,yak_1,August
1,pika,S. chamaejasme,grasses,0.24,18,yak_1,August
1,pika,S. chamaejasme,forbs,0.12,19,yak_1,August
1,pika,S. chamaejasme,sedges,0.69,20,yak_2,August
1,pika,S. chamaejasme,grasses,0.29,21,yak_2,August
1,pika,S. chamaejasme,forbs,0.28,22,yak_2,August
2,pika,S. chamaejasme,sedges,0.4,5,yak_1,June
2,pika,S. chamaejasme,grasses,0.3,6,yak_1,June
2,pika,S. chamaejasme,forbs,0.16,7,yak_1,June
2,pika,S. chamaejasme,sedges,0.51,8,yak_2,June
2,pika,S. chamaejasme,grasses,0.23,9,yak_2,June
2,pika,S. chamaejasme,forbs,0.24,10,yak_2,June
2,pika,S. chamaejasme,sedges,0.57,11,yak_1,July
2,pika,S. chamaejasme,grasses,0.37,12,yak_1,July
2,pika,S. chamaejasme,forbs,0.24,13,yak_1,July
2,pika,S. chamaejasme,sedges,0.46,14,yak_2,July
2,pika,S. chamaejasme,grasses,0.3,15,yak_2,July
2,pika,S. chamaejasme,forbs,0.15,16,yak_2,July
2,pika,S. chamaejasme,sedges,0.55,17,yak_1,August
2,pika,S. chamaejasme,grasses,0.23,18,yak_1,August
2,pika,S. chamaejasme,forbs,0.11,19,yak_1,August
2,pika,S. chamaejasme,sedges,0.5,20,yak_2,August
2,pika,S. chamaejasme,grasses,0.2,21,yak_2,August
2,pika,S. chamaejasme,forbs,0.11,22,yak_2,August
3,pika,S. chamaejasme,sedges,0.3,5,yak_1,June
3,pika,S. chamaejasme,grasses,0.19,6,yak_1,June
3,pika,S. chamaejasme,forbs,0.08,7,yak_1,June
3,pika,S. chamaejasme,sedges,0.41,8,yak_2,June
3,pika,S. chamaejasme,grasses,0.42,9,yak_2,June
3,pika,S. chamaejasme,forbs,0.12,10,yak_2,June
3,pika,S. chamaejasme,sedges,0.39,11,yak_1,July
3,pika,S. chamaejasme,grasses,0.18,12,yak_1,July
3,pika,S. chamaejasme,forbs,0.07,13,yak_1,July
3,pika,S. chamaejasme,sedges,0.53,14,yak_2,July
3,pika,S. chamaejasme,grasses,0.32,15,yak_2,July
3,pika,S. chamaejasme,forbs,0.14,16,yak_2,July
3,pika,S. chamaejasme,sedges,0.47,17,yak_1,August
3,pika,S. chamaejasme,grasses,0.26,18,yak_1,August
3,pika,S. chamaejasme,forbs,0.23,19,yak_1,August
3,pika,S. chamaejasme,sedges,0.64,20,yak_2,August
3,pika,S. chamaejasme,grasses,0.18,21,yak_2,August
3,pika,S. chamaejasme,forbs,0.15,22,yak_2,August
4,pika,S. chamaejasme,sedges,0.53,5,yak_1,June
4,pika,S. chamaejasme,grasses,0.22,6,yak_1,June
4,pika,S. chamaejasme,forbs,0.21,7,yak_1,June
4,pika,S. chamaejasme,sedges,0.48,8,yak_2,June
4,pika,S. chamaejasme,grasses,0.2,9,yak_2,June
4,pika,S. chamaejasme,forbs,0.25,10,yak_2,June
4,pika,S. chamaejasme,sedges,0.55,11,yak_1,July
4,pika,S. chamaejasme,grasses,0.31,12,yak_1,July
4,pika,S. chamaejasme,forbs,0.18,13,yak_1,July
4,pika,S. chamaejasme,sedges,0.26,14,yak_2,July
4,pika,S. chamaejasme,grasses,0.23,15,yak_2,July
4,pika,S. chamaejasme,forbs,0.06,16,yak_2,July
4,pika,S. chamaejasme,sedges,0.54,17,yak_1,August
4,pika,S. chamaejasme,grasses,0.19,18,yak_1,August
4,pika,S. chamaejasme,forbs,0.14,19,yak_1,August
4,pika,S. chamaejasme,sedges,0.39,20,yak_2,August
4,pika,S. chamaejasme,grasses,0.24,21,yak_2,August
4,pika,S. chamaejasme,forbs,0.1,22,yak_2,August
1,no pika,No S. chamaejasme,sedges,0.52,5,yak_1,June
1,no pika,No S. chamaejasme,grasses,0.18,6,yak_1,June
1,no pika,No S. chamaejasme,forbs,0.13,7,yak_1,June
1,no pika,No S. chamaejasme,sedges,0.75,8,yak_2,June
1,no pika,No S. chamaejasme,grasses,0.43,9,yak_2,June
1,no pika,No S. chamaejasme,forbs,0.13,10,yak_2,June
1,no pika,No S. chamaejasme,sedges,0.55,11,yak_1,July
1,no pika,No S. chamaejasme,grasses,0.2,12,yak_1,July
1,no pika,No S. chamaejasme,forbs,0.17,13,yak_1,July
1,no pika,No S. chamaejasme,sedges,0.45,14,yak_2,July
1,no pika,No S. chamaejasme,grasses,0.31,15,yak_2,July
1,no pika,No S. chamaejasme,forbs,0.12,16,yak_2,July
1,no pika,No S. chamaejasme,sedges,0.55,17,yak_1,August
1,no pika,No S. chamaejasme,grasses,0.24,18,yak_1,August
1,no pika,No S. chamaejasme,forbs,0.12,19,yak_1,August
1,no pika,No S. chamaejasme,sedges,0.5,20,yak_2,August
1,no pika,No S. chamaejasme,grasses,0.2,21,yak_2,August
1,no pika,No S. chamaejasme,forbs,0.19,22,yak_2,August
2,no pika,No S. chamaejasme,sedges,0.59,5,yak_1,June
2,no pika,No S. chamaejasme,grasses,0.42,6,yak_1,June
2,no pika,No S. chamaejasme,forbs,0.15,7,yak_1,June
2,no pika,No S. chamaejasme,sedges,0.65,8,yak_2,June
2,no pika,No S. chamaejasme,grasses,0.6,9,yak_2,June
2,no pika,No S. chamaejasme,forbs,0.17,10,yak_2,June
2,no pika,No S. chamaejasme,sedges,0.51,11,yak_1,July
2,no pika,No S. chamaejasme,grasses,0.24,12,yak_1,July
2,no pika,No S. chamaejasme,forbs,0.13,13,yak_1,July
2,no pika,No S. chamaejasme,sedges,0.42,14,yak_2,July
2,no pika,No S. chamaejasme,grasses,0.28,15,yak_2,July
2,no pika,No S. chamaejasme,forbs,0.14,16,yak_2,July
2,no pika,No S. chamaejasme,sedges,0.51,17,yak_1,August
2,no pika,No S. chamaejasme,grasses,0.34,18,yak_1,August
2,no pika,No S. chamaejasme,forbs,0.12,19,yak_1,August
2,no pika,No S. chamaejasme,sedges,0.34,20,yak_2,August
2,no pika,No S. chamaejasme,grasses,0.23,21,yak_2,August
2,no pika,No S. chamaejasme,forbs,0.1,22,yak_2,August
3,no pika,No S. chamaejasme,sedges,0.45,5,yak_1,June
3,no pika,No S. chamaejasme,grasses,0.13,6,yak_1,June
3,no pika,No S. chamaejasme,forbs,0.19,7,yak_1,June
3,no pika,No S. chamaejasme,sedges,0.53,8,yak_2,June
3,no pika,No S. chamaejasme,grasses,0.18,9,yak_2,June
3,no pika,No S. chamaejasme,forbs,0.16,10,yak_2,June
3,no pika,No S. chamaejasme,sedges,0.62,11,yak_1,July
3,no pika,No S. chamaejasme,grasses,0.17,12,yak_1,July
3,no pika,No S. chamaejasme,forbs,0.08,13,yak_1,July
3,no pika,No S. chamaejasme,sedges,0.46,14,yak_2,July
3,no pika,No S. chamaejasme,grasses,0.39,15,yak_2,July
3,no pika,No S. chamaejasme,forbs,0.08,16,yak_2,July
3,no pika,No S. chamaejasme,sedges,0.25,17,yak_1,August
3,no pika,No S. chamaejasme,grasses,0.42,18,yak_1,August
3,no pika,No S. chamaejasme,forbs,0.13,19,yak_1,August
3,no pika,No S. chamaejasme,sedges,0.91,20,yak_2,August
3,no pika,No S. chamaejasme,grasses,0.53,21,yak_2,August
3,no pika,No S. chamaejasme,forbs,0.11,22,yak_2,August
4,no pika,No S. chamaejasme,sedges,0.42,5,yak_1,June
4,no pika,No S. chamaejasme,grasses,0.28,6,yak_1,June
4,no pika,No S. chamaejasme,forbs,0.15,7,yak_1,June
4,no pika,No S. chamaejasme,sedges,0.41,8,yak_2,June
4,no pika,No S. chamaejasme,grasses,0.52,9,yak_2,June
4,no pika,No S. chamaejasme,forbs,0.19,10,yak_2,June
4,no pika,No S. chamaejasme,sedges,0.77,11,yak_1,July
4,no pika,No S. chamaejasme,grasses,0.2,12,yak_1,July
4,no pika,No S. chamaejasme,forbs,0.18,13,yak_1,July
4,no pika,No S. chamaejasme,sedges,0.3,14,yak_2,July
4,no pika,No S. chamaejasme,grasses,0.19,15,yak_2,July
4,no pika,No S. chamaejasme,forbs,0.2,16,yak_2,July
4,no pika,No S. chamaejasme,sedges,0.5,17,yak_1,August
4,no pika,No S. chamaejasme,grasses,0.17,18,yak_1,August
4,no pika,No S. chamaejasme,forbs,0.14,19,yak_1,August
4,no pika,No S. chamaejasme,sedges,0.38,20,yak_2,August
4,no pika,No S. chamaejasme,grasses,0.33,21,yak_2,August
4,no pika,No S. chamaejasme,forbs,0.14,22,yak_2,August
1,pika,No S. chamaejasme,sedges,0.73,5,yak_1,June
1,pika,No S. chamaejasme,grasses,0.41,6,yak_1,June
1,pika,No S. chamaejasme,forbs,0.15,7,yak_1,June
1,pika,No S. chamaejasme,sedges,0.55,8,yak_2,June
1,pika,No S. chamaejasme,grasses,0.16,9,yak_2,June
1,pika,No S. chamaejasme,forbs,0.18,10,yak_2,June
1,pika,No S. chamaejasme,sedges,0.71,11,yak_1,July
1,pika,No S. chamaejasme,grasses,0.36,12,yak_1,July
1,pika,No S. chamaejasme,forbs,0.28,13,yak_1,July
1,pika,No S. chamaejasme,sedges,0.43,14,yak_2,July
1,pika,No S. chamaejasme,grasses,0.25,15,yak_2,July
1,pika,No S. chamaejasme,forbs,0.16,16,yak_2,July
1,pika,No S. chamaejasme,sedges,0.55,17,yak_1,August
1,pika,No S. chamaejasme,grasses,0.31,18,yak_1,August
1,pika,No S. chamaejasme,forbs,0.19,19,yak_1,August
1,pika,No S. chamaejasme,sedges,0.5,20,yak_2,August
1,pika,No S. chamaejasme,grasses,0.28,21,yak_2,August
1,pika,No S. chamaejasme,forbs,0.15,22,yak_2,August
2,pika,No S. chamaejasme,sedges,0.93,5,yak_1,June
2,pika,No S. chamaejasme,grasses,0.46,6,yak_1,June
2,pika,No S. chamaejasme,forbs,0.13,7,yak_1,June
2,pika,No S. chamaejasme,sedges,0.44,8,yak_2,June
2,pika,No S. chamaejasme,grasses,0.42,9,yak_2,June
2,pika,No S. chamaejasme,forbs,0.15,10,yak_2,June
2,pika,No S. chamaejasme,sedges,0.49,11,yak_1,July
2,pika,No S. chamaejasme,grasses,0.3,12,yak_1,July
2,pika,No S. chamaejasme,forbs,0.13,13,yak_1,July
2,pika,No S. chamaejasme,sedges,0.74,14,yak_2,July
2,pika,No S. chamaejasme,grasses,0.25,15,yak_2,July
2,pika,No S. chamaejasme,forbs,0.13,16,yak_2,July
2,pika,No S. chamaejasme,sedges,0.57,17,yak_1,August
2,pika,No S. chamaejasme,grasses,0.23,18,yak_1,August
2,pika,No S. chamaejasme,forbs,0.19,19,yak_1,August
2,pika,No S. chamaejasme,sedges,0.26,20,yak_2,August
2,pika,No S. chamaejasme,grasses,0.15,21,yak_2,August
2,pika,No S. chamaejasme,forbs,0.14,22,yak_2,August
3,pika,No S. chamaejasme,sedges,0.7,5,yak_1,June
3,pika,No S. chamaejasme,grasses,0.24,6,yak_1,June
3,pika,No S. chamaejasme,forbs,0.23,7,yak_1,June
3,pika,No S. chamaejasme,sedges,0.48,8,yak_2,June
3,pika,No S. chamaejasme,grasses,0.16,9,yak_2,June
3,pika,No S. chamaejasme,forbs,0.13,10,yak_2,June
3,pika,No S. chamaejasme,sedges,0.61,11,yak_1,July
3,pika,No S. chamaejasme,grasses,0.15,12,yak_1,July
3,pika,No S. chamaejasme,forbs,0.09,13,yak_1,July
3,pika,No S. chamaejasme,sedges,0.59,14,yak_2,July
3,pika,No S. chamaejasme,grasses,0.23,15,yak_2,July
3,pika,No S. chamaejasme,forbs,0.17,16,yak_2,July
3,pika,No S. chamaejasme,sedges,0.4,17,yak_1,August
3,pika,No S. chamaejasme,grasses,0.24,18,yak_1,August
3,pika,No S. chamaejasme,forbs,0.12,19,yak_1,August
3,pika,No S. chamaejasme,sedges,0.38,20,yak_2,August
3,pika,No S. chamaejasme,grasses,0.25,21,yak_2,August
3,pika,No S. chamaejasme,forbs,0.15,22,yak_2,August
4,pika,No S. chamaejasme,sedges,0.46,5,yak_1,June
4,pika,No S. chamaejasme,grasses,0.33,6,yak_1,June
4,pika,No S. chamaejasme,forbs,0.07,7,yak_1,June
4,pika,No S. chamaejasme,sedges,0.77,8,yak_2,June
4,pika,No S. chamaejasme,grasses,0.37,9,yak_2,June
4,pika,No S. chamaejasme,forbs,0.09,10,yak_2,June
4,pika,No S. chamaejasme,sedges,0.51,11,yak_1,July
4,pika,No S. chamaejasme,grasses,0.19,12,yak_1,July
4,pika,No S. chamaejasme,forbs,0.11,13,yak_1,July
4,pika,No S. chamaejasme,sedges,0.42,14,yak_2,July
4,pika,No S. chamaejasme,grasses,0.38,15,yak_2,July
4,pika,No S. chamaejasme,forbs,0.13,16,yak_2,July
4,pika,No S. chamaejasme,sedges,0.58,17,yak_1,August
4,pika,No S. chamaejasme,grasses,0.26,18,yak_1,August
4,pika,No S. chamaejasme,forbs,0.13,19,yak_1,August
4,pika,No S. chamaejasme,sedges,0.57,20,yak_2,August
4,pika,No S. chamaejasme,grasses,0.38,21,yak_2,August
4,pika,No S. chamaejasme,forbs,0.09,22,yak_2,August
