block,pika_treatment,posion_plant_treatment,year,plant,forage_quality,month
1,no pika,S. chamaejasme,2022,cp,7.1,July
1,no pika,S. chamaejasme,2022,adf,30.6,August
1,no pika,S. chamaejasme,2022,ndf,61.6,August
2,no pika,S. chamaejasme,2022,cp,8.1,June
2,no pika,S. chamaejasme,2022,adf,28.4,June
2,no pika,S. chamaejasme,2022,ndf,65.5,June
2,no pika,S. chamaejasme,2022,cp,8.4,June
2,no pika,S. chamaejasme,2022,adf,28.2,July
2,no pika,S. chamaejasme,2022,ndf,64.4,July
2,no pika,S. chamaejasme,2022,ee_percent,2.8,NA
2,no pika,S. chamaejasme,2022,cp,6.8,July
2,no pika,S. chamaejasme,2022,adf,28.8,August
2,no pika,S. chamaejasme,2022,ndf,65.2,August
3,no pika,S. chamaejasme,2022,cp,6.7,June
3,no pika,S. chamaejasme,2022,adf,28.7,June
3,no pika,S. chamaejasme,2022,ndf,61.8,June
3,no pika,S. chamaejasme,2022,cp,7.1,June
3,no pika,S. chamaejasme,2022,adf,27.7,July
3,no pika,S. chamaejasme,2022,ndf,62.5,July
3,no pika,S. chamaejasme,2022,ee_percent,3.1,NA
3,no pika,S. chamaejasme,2022,cp,7,July
3,no pika,S. chamaejasme,2022,adf,27.5,August
3,no pika,S. chamaejasme,2022,ndf,64.1,August
4,no pika,S. chamaejasme,2022,cp,8,June
4,no pika,S. chamaejasme,2022,adf,28.8,June
4,no pika,S. chamaejasme,2022,ndf,60.2,June
4,no pika,S. chamaejasme,2022,cp,7.3,June
4,no pika,S. chamaejasme,2022,adf,28.4,July
4,no pika,S. chamaejasme,2022,ndf,58.9,July
4,no pika,S. chamaejasme,2022,ee_percent,2.6,NA
4,no pika,S. chamaejasme,2022,cp,7.4,July
4,no pika,S. chamaejasme,2022,adf,28.2,August
4,no pika,S. chamaejasme,2022,ndf,59.9,August
1,pika,S. chamaejasme,2022,cp,7.8,June
1,pika,S. chamaejasme,2022,adf,30.1,June
1,pika,S. chamaejasme,2022,ndf,62.7,June
1,pika,S. chamaejasme,2022,cp,8.5,June
1,pika,S. chamaejasme,2022,adf,30.6,July
1,pika,S. chamaejasme,2022,ndf,62.1,July
1,pika,S. chamaejasme,2022,ee_percent,2.9,NA
1,pika,S. chamaejasme,2022,cp,9,July
1,pika,S. chamaejasme,2022,adf,30.4,August
1,pika,S. chamaejasme,2022,ndf,63.5,August
2,pika,S. chamaejasme,2022,cp,8.1,June
2,pika,S. chamaejasme,2022,adf,29.5,June
2,pika,S. chamaejasme,2022,ndf,62.8,June
2,pika,S. chamaejasme,2022,cp,8.2,June
2,pika,S. chamaejasme,2022,adf,30.5,July
2,pika,S. chamaejasme,2022,ndf,62,July
2,pika,S. chamaejasme,2022,ee_percent,3.2,NA
2,pika,S. chamaejasme,2022,cp,8.9,July
2,pika,S. chamaejasme,2022,adf,31.3,August
2,pika,S. chamaejasme,2022,ndf,63,August
3,pika,S. chamaejasme,2022,cp,7.9,June
3,pika,S. chamaejasme,2022,adf,32.3,June
3,pika,S. chamaejasme,2022,ndf,59.3,June
3,pika,S. chamaejasme,2022,cp,8.9,June
3,pika,S. chamaejasme,2022,adf,32.4,July
3,pika,S. chamaejasme,2022,ndf,60.3,July
3,pika,S. chamaejasme,2022,ee_percent,3.1,NA
3,pika,S. chamaejasme,2022,cp,9.3,July
3,pika,S. chamaejasme,2022,adf,32.6,August
3,pika,S. chamaejasme,2022,ndf,61.7,August
4,pika,S. chamaejasme,2022,cp,8.3,June
4,pika,S. chamaejasme,2022,adf,30,June
4,pika,S. chamaejasme,2022,ndf,62.6,June
4,pika,S. chamaejasme,2022,cp,8.4,June
4,pika,S. chamaejasme,2022,adf,30.2,July
4,pika,S. chamaejasme,2022,ndf,62.6,July
4,pika,S. chamaejasme,2022,ee_percent,3.3,NA
4,pika,S. chamaejasme,2022,cp,9.1,July
4,pika,S. chamaejasme,2022,adf,30.7,August
4,pika,S. chamaejasme,2022,ndf,63.8,August
1,no pika,No S. chamaejasme,2023,cp,8.4,June
1,no pika,No S. chamaejasme,2023,adf,29.8,June
1,no pika,No S. chamaejasme,2023,ndf,63.2,June
1,no pika,No S. chamaejasme,2023,cp,8.5,June
1,no pika,No S. chamaejasme,2023,adf,30.1,July
1,no pika,No S. chamaejasme,2023,ndf,62.5,July
1,no pika,No S. chamaejasme,2023,ee_percent,2.7,NA
1,no pika,No S. chamaejasme,2023,cp,9.2,July
1,no pika,No S. chamaejasme,2023,adf,30.9,August
1,no pika,No S. chamaejasme,2023,ndf,63.3,August
2,no pika,No S. chamaejasme,2023,cp,8.3,June
2,no pika,No S. chamaejasme,2023,adf,33.3,June
2,no pika,No S. chamaejasme,2023,ndf,63.8,June
2,no pika,No S. chamaejasme,2023,cp,8.4,June
2,no pika,No S. chamaejasme,2023,adf,32.3,July
2,no pika,No S. chamaejasme,2023,ndf,64.8,July
2,no pika,No S. chamaejasme,2023,ee_percent,3.2,NA
2,no pika,No S. chamaejasme,2023,cp,8.1,July
2,no pika,No S. chamaejasme,2023,adf,33.4,August
2,no pika,No S. chamaejasme,2023,ndf,65.5,August
3,no pika,No S. chamaejasme,2023,cp,8.6,June
3,no pika,No S. chamaejasme,2023,adf,29.1,June
3,no pika,No S. chamaejasme,2023,ndf,62.5,June
3,no pika,No S. chamaejasme,2023,cp,8.6,June
3,no pika,No S. chamaejasme,2023,adf,29.8,July
3,no pika,No S. chamaejasme,2023,ndf,62.1,July
3,no pika,No S. chamaejasme,2023,ee_percent,2.9,NA
3,no pika,No S. chamaejasme,2023,cp,8.9,July
3,no pika,No S. chamaejasme,2023,adf,31.5,August
3,no pika,No S. chamaejasme,2023,ndf,62.9,August
4,no pika,No S. chamaejasme,2023,cp,8.2,June
4,no pika,No S. chamaejasme,2023,adf,21.6,June
4,no pika,No S. chamaejasme,2023,ndf,59.7,June
4,no pika,No S. chamaejasme,2023,cp,8.1,June
4,no pika,No S. chamaejasme,2023,adf,30,July
4,no pika,No S. chamaejasme,2023,ndf,58.9,July
4,no pika,No S. chamaejasme,2023,ee_percent,3.1,NA
4,no pika,No S. chamaejasme,2023,cp,7.8,July
4,no pika,No S. chamaejasme,2023,adf,30.8,August
4,no pika,No S. chamaejasme,2023,ndf,58.4,August
1,pika,No S. chamaejasme,2023,cp,8.1,June
1,pika,No S. chamaejasme,2023,adf,30.2,June
1,pika,No S. chamaejasme,2023,ndf,63.4,June
1,pika,No S. chamaejasme,2023,cp,8.5,June
1,pika,No S. chamaejasme,2023,adf,30.2,July
1,pika,No S. chamaejasme,2023,ndf,62.4,July
1,pika,No S. chamaejasme,2023,ee_percent,2.7,NA
1,pika,No S. chamaejasme,2023,cp,8.6,July
1,pika,No S. chamaejasme,2023,adf,31.4,August
1,pika,No S. chamaejasme,2023,ndf,62.1,August
2,pika,No S. chamaejasme,2023,cp,7.9,June
2,pika,No S. chamaejasme,2023,adf,33.1,June
2,pika,No S. chamaejasme,2023,ndf,60.3,June
2,pika,No S. chamaejasme,2023,cp,8.7,June
2,pika,No S. chamaejasme,2023,adf,32.4,July
2,pika,No S. chamaejasme,2023,ndf,60.3,July
2,pika,No S. chamaejasme,2023,ee_percent,2.8,NA
2,pika,No S. chamaejasme,2023,cp,9.3,July
2,pika,No S. chamaejasme,2023,adf,33.1,August
2,pika,No S. chamaejasme,2023,ndf,61.7,August
3,pika,No S. chamaejasme,2023,cp,8.7,June
3,pika,No S. chamaejasme,2023,adf,29.9,June
3,pika,No S. chamaejasme,2023,ndf,64.1,June
3,pika,No S. chamaejasme,2023,cp,9.2,June
3,pika,No S. chamaejasme,2023,adf,29.9,July
3,pika,No S. chamaejasme,2023,ndf,65.5,July
3,pika,No S. chamaejasme,2023,ee_percent,2.6,NA
3,pika,No S. chamaejasme,2023,cp,9.4,July
3,pika,No S. chamaejasme,2023,adf,31.5,August
3,pika,No S. chamaejasme,2023,ndf,65.6,August
4,pika,No S. chamaejasme,2023,cp,8,June
4,pika,No S. chamaejasme,2023,adf,28.7,June
4,pika,No S. chamaejasme,2023,ndf,62.6,June
4,pika,No S. chamaejasme,2023,cp,8.6,June
4,pika,No S. chamaejasme,2023,adf,30.3,July
4,pika,No S. chamaejasme,2023,ndf,63.6,July
4,pika,No S. chamaejasme,2023,ee_percent,3.2,NA
4,pika,No S. chamaejasme,2023,cp,8.3,July
4,pika,No S. chamaejasme,2023,adf,29.7,August
4,pika,No S. chamaejasme,2023,ndf,63.8,August
1,no pika,S. chamaejasme,2023,cp,6.2,June
1,no pika,S. chamaejasme,2023,adf,29.2,June
1,no pika,S. chamaejasme,2023,ndf,58.5,June
1,no pika,S. chamaejasme,2023,cp,6.5,June
1,no pika,S. chamaejasme,2023,adf,33.3,July
1,no pika,S. chamaejasme,2023,ndf,57.5,July
1,no pika,S. chamaejasme,2023,ee_percent,2.9,NA
1,no pika,S. chamaejasme,2023,cp,7.2,July
1,no pika,S. chamaejasme,2023,adf,32.5,August
1,no pika,S. chamaejasme,2023,ndf,56.9,August
2,no pika,S. chamaejasme,2023,cp,7.4,June
2,no pika,S. chamaejasme,2023,adf,28.5,June
2,no pika,S. chamaejasme,2023,ndf,65.2,June
2,no pika,S. chamaejasme,2023,cp,8.4,June
2,no pika,S. chamaejasme,2023,adf,29.6,July
2,no pika,S. chamaejasme,2023,ndf,62.7,July
2,no pika,S. chamaejasme,2023,ee_percent,3.4,NA
2,no pika,S. chamaejasme,2023,cp,8.3,July
2,no pika,S. chamaejasme,2023,adf,30.2,August
2,no pika,S. chamaejasme,2023,ndf,63.2,August
3,no pika,S. chamaejasme,2023,cp,6.9,June
3,no pika,S. chamaejasme,2023,adf,28.6,June
3,no pika,S. chamaejasme,2023,ndf,62.1,June
3,no pika,S. chamaejasme,2023,cp,7.1,June
3,no pika,S. chamaejasme,2023,adf,28.8,July
3,no pika,S. chamaejasme,2023,ndf,60.3,July
3,no pika,S. chamaejasme,2023,ee_percent,3.2,NA
3,no pika,S. chamaejasme,2023,cp,7.8,July
3,no pika,S. chamaejasme,2023,adf,27.8,August
3,no pika,S. chamaejasme,2023,ndf,61,August
4,no pika,S. chamaejasme,2023,cp,6.8,June
4,no pika,S. chamaejasme,2023,adf,29.3,June
4,no pika,S. chamaejasme,2023,ndf,59.8,June
4,no pika,S. chamaejasme,2023,cp,7.2,June
4,no pika,S. chamaejasme,2023,adf,30.1,July
4,no pika,S. chamaejasme,2023,ndf,58.5,July
4,no pika,S. chamaejasme,2023,ee_percent,2.7,NA
4,no pika,S. chamaejasme,2023,cp,7.5,July
4,no pika,S. chamaejasme,2023,adf,30.5,August
4,no pika,S. chamaejasme,2023,ndf,60.5,August
1,pika,S. chamaejasme,2023,cp,8.5,June
1,pika,S. chamaejasme,2023,adf,29.1,June
1,pika,S. chamaejasme,2023,ndf,62.7,June
1,pika,S. chamaejasme,2023,cp,8.2,June
1,pika,S. chamaejasme,2023,adf,31.2,July
1,pika,S. chamaejasme,2023,ndf,62.1,July
1,pika,S. chamaejasme,2023,ee_percent,2.9,NA
1,pika,S. chamaejasme,2023,cp,8.9,July
1,pika,S. chamaejasme,2023,adf,30.7,August
1,pika,S. chamaejasme,2023,ndf,63.8,August
2,pika,S. chamaejasme,2023,cp,7.9,June
2,pika,S. chamaejasme,2023,adf,30.4,June
2,pika,S. chamaejasme,2023,ndf,61.6,June
2,pika,S. chamaejasme,2023,cp,7.9,June
2,pika,S. chamaejasme,2023,adf,32.7,July
2,pika,S. chamaejasme,2023,ndf,62.9,July
2,pika,S. chamaejasme,2023,ee_percent,3.3,NA
2,pika,S. chamaejasme,2023,cp,8.1,July
2,pika,S. chamaejasme,2023,adf,33.4,August
2,pika,S. chamaejasme,2023,ndf,64.2,August
3,pika,S. chamaejasme,2023,cp,8.3,June
3,pika,S. chamaejasme,2023,adf,31.9,June
3,pika,S. chamaejasme,2023,ndf,58.9,June
3,pika,S. chamaejasme,2023,cp,8.8,June
3,pika,S. chamaejasme,2023,adf,33.5,July
3,pika,S. chamaejasme,2023,ndf,60.4,July
3,pika,S. chamaejasme,2023,ee_percent,3.5,NA
3,pika,S. chamaejasme,2023,cp,9.4,July
3,pika,S. chamaejasme,2023,adf,32.6,August
3,pika,S. chamaejasme,2023,ndf,59.6,August
4,pika,S. chamaejasme,2023,cp,8,June
4,pika,S. chamaejasme,2023,adf,30.1,June
4,pika,S. chamaejasme,2023,ndf,64.3,June
4,pika,S. chamaejasme,2023,cp,8.5,June
4,pika,S. chamaejasme,2023,adf,30.4,July
4,pika,S. chamaejasme,2023,ndf,65.6,July
4,pika,S. chamaejasme,2023,ee_percent,3.1,NA
4,pika,S. chamaejasme,2023,cp,9.3,July
4,pika,S. chamaejasme,2023,adf,31.6,August
4,pika,S. chamaejasme,2023,ndf,65.1,August
