block,pika_treatment,posion_plant_treatment,year,yak,total_steps,month
1,pika,S. chamaejasme,2022,yak_1_8,400,July
1,pika,S. chamaejasme,2022,yak_2_9,518,July
1,pika,S. chamaejasme,2022,yak_1_10,681,August
1,pika,S. chamaejasme,2022,yak_2_11,430,August
2,pika,S. chamaejasme,2022,yak_1_6,540,June
2,pika,S. chamaejasme,2022,yak_2_7,524,June
2,pika,S. chamaejasme,2022,yak_1_8,483,July
2,pika,S. chamaejasme,2022,yak_2_9,614,July
2,pika,S. chamaejasme,2022,yak_1_10,629,August
2,pika,S. chamaejasme,2022,yak_2_11,698,August
3,pika,S. chamaejasme,2022,yak_1_6,686,June
3,pika,S. chamaejasme,2022,yak_2_7,546,June
3,pika,S. chamaejasme,2022,yak_1_8,611,July
3,pika,S. chamaejasme,2022,yak_2_9,497,July
3,pika,S. chamaejasme,2022,yak_1_10,527,August
3,pika,S. chamaejasme,2022,yak_2_11,580,August
4,pika,S. chamaejasme,2022,yak_1_6,542,June
4,pika,S. chamaejasme,2022,yak_2_7,637,June
4,pika,S. chamaejasme,2022,yak_1_8,548,July
4,pika,S. chamaejasme,2022,yak_2_9,622,July
4,pika,S. chamaejasme,2022,yak_1_10,621,August
4,pika,S. chamaejasme,2022,yak_2_11,589,August
1,no pika,No S. chamaejasme,2023,yak_1_6,619,June
1,no pika,No S. chamaejasme,2023,yak_2_7,495,June
1,no pika,No S. chamaejasme,2023,yak_1_8,629,July
1,no pika,No S. chamaejasme,2023,yak_2_9,576,July
1,no pika,No S. chamaejasme,2023,yak_1_10,447,August
1,no pika,No S. chamaejasme,2023,yak_2_11,510,August
2,no pika,No S. chamaejasme,2023,yak_1_6,486,June
2,no pika,No S. chamaejasme,2023,yak_2_7,415,June
2,no pika,No S. chamaejasme,2023,yak_1_8,635,July
2,no pika,No S. chamaejasme,2023,yak_2_9,709,July
2,no pika,No S. chamaejasme,2023,yak_1_10,577,August
2,no pika,No S. chamaejasme,2023,yak_2_11,622,August
3,no pika,No S. chamaejasme,2023,yak_1_6,542,June
3,no pika,No S. chamaejasme,2023,yak_2_7,647,June
3,no pika,No S. chamaejasme,2023,yak_1_8,692,July
3,no pika,No S. chamaejasme,2023,yak_2_9,534,July
3,no pika,No S. chamaejasme,2023,yak_1_10,733,August
3,no pika,No S. chamaejasme,2023,yak_2_11,340,August
4,no pika,No S. chamaejasme,2023,yak_1_6,602,June
4,no pika,No S. chamaejasme,2023,yak_2_7,475,June
4,no pika,No S. chamaejasme,2023,yak_1_8,533,July
4,no pika,No S. chamaejasme,2023,yak_2_9,607,July
4,no pika,No S. chamaejasme,2023,yak_1_10,616,August
4,no pika,No S. chamaejasme,2023,yak_2_11,518,August
1,pika,No S. chamaejasme,2023,yak_1_6,579,June
1,pika,No S. chamaejasme,2023,yak_2_7,633,June
1,pika,No S. chamaejasme,2023,yak_1_8,496,July
1,pika,No S. chamaejasme,2023,yak_2_9,553,July
1,pika,No S. chamaejasme,2023,yak_1_10,570,August
1,pika,No S. chamaejasme,2023,yak_2_11,653,August
2,pika,No S. chamaejasme,2023,yak_1_6,406,June
2,pika,No S. chamaejasme,2023,yak_2_7,531,June
2,pika,No S. chamaejasme,2023,yak_1_8,535,July
2,pika,No S. chamaejasme,2023,yak_2_9,487,July
2,pika,No S. chamaejasme,2023,yak_1_10,449,August
2,pika,No S. chamaejasme,2023,yak_2_11,742,August
3,pika,No S. chamaejasme,2023,yak_1_6,478,June
3,pika,No S. chamaejasme,2023,yak_2_7,738,June
3,pika,No S. chamaejasme,2023,yak_1_8,664,July
3,pika,No S. chamaejasme,2023,yak_2_9,571,July
3,pika,No S. chamaejasme,2023,yak_1_10,615,August
3,pika,No S. chamaejasme,2023,yak_2_11,561,August
4,pika,No S. chamaejasme,2023,yak_1_6,627,June
4,pika,No S. chamaejasme,2023,yak_2_7,569,June
4,pika,No S. chamaejasme,2023,yak_1_8,695,July
4,pika,No S. chamaejasme,2023,yak_2_9,660,July
4,pika,No S. chamaejasme,2023,yak_1_10,496,August
4,pika,No S. chamaejasme,2023,yak_2_11,592,August
1,no pika,S. chamaejasme,2023,yak_1_6,832,June
1,no pika,S. chamaejasme,2023,yak_2_7,902,June
1,no pika,S. chamaejasme,2023,yak_1_8,646,July
1,no pika,S. chamaejasme,2023,yak_2_9,517,July
1,no pika,S. chamaejasme,2023,yak_1_10,822,August
1,no pika,S. chamaejasme,2023,yak_2_11,927,August
2,no pika,S. chamaejasme,2023,yak_1_6,714,June
2,no pika,S. chamaejasme,2023,yak_2_7,678,June
2,no pika,S. chamaejasme,2023,yak_1_8,791,July
2,no pika,S. chamaejasme,2023,yak_2_9,613,July
2,no pika,S. chamaejasme,2023,yak_1_10,621,August
2,no pika,S. chamaejasme,2023,yak_2_11,532,August
3,no pika,S. chamaejasme,2023,yak_1_6,536,June
3,no pika,S. chamaejasme,2023,yak_2_7,964,June
3,no pika,S. chamaejasme,2023,yak_1_8,699,July
3,no pika,S. chamaejasme,2023,yak_2_9,754,July
3,no pika,S. chamaejasme,2023,yak_1_10,703,August
3,no pika,S. chamaejasme,2023,yak_2_11,772,August
4,no pika,S. chamaejasme,2023,yak_1_6,651,June
4,no pika,S. chamaejasme,2023,yak_2_7,721,June
4,no pika,S. chamaejasme,2023,yak_1_8,554,July
4,no pika,S. chamaejasme,2023,yak_2_9,694,July
4,no pika,S. chamaejasme,2023,yak_1_10,806,August
4,no pika,S. chamaejasme,2023,yak_2_11,828,August
1,pika,S. chamaejasme,2023,yak_1_6,448,June
1,pika,S. chamaejasme,2023,yak_2_7,349,June
1,pika,S. chamaejasme,2023,yak_1_8,416,July
1,pika,S. chamaejasme,2023,yak_2_9,337,July
1,pika,S. chamaejasme,2023,yak_1_10,760,August
1,pika,S. chamaejasme,2023,yak_2_11,527,August
2,pika,S. chamaejasme,2023,yak_1_6,534,June
2,pika,S. chamaejasme,2023,yak_2_7,469,June
2,pika,S. chamaejasme,2023,yak_1_8,569,July
2,pika,S. chamaejasme,2023,yak_2_9,652,July
2,pika,S. chamaejasme,2023,yak_1_10,624,August
2,pika,S. chamaejasme,2023,yak_2_11,696,August
3,pika,S. chamaejasme,2023,yak_1_6,606,June
3,pika,S. chamaejasme,2023,yak_2_7,592,June
3,pika,S. chamaejasme,2023,yak_1_8,468,July
3,pika,S. chamaejasme,2023,yak_2_9,725,July
3,pika,S. chamaejasme,2023,yak_1_10,579,August
3,pika,S. chamaejasme,2023,yak_2_11,550,August
4,pika,S. chamaejasme,2023,yak_1_6,396,June
4,pika,S. chamaejasme,2023,yak_2_7,533,June
4,pika,S. chamaejasme,2023,yak_1_8,579,July
4,pika,S. chamaejasme,2023,yak_2_9,570,July
4,pika,S. chamaejasme,2023,yak_1_10,465,August
4,pika,S. chamaejasme,2023,yak_2_11,546,August
