block,pika_treatment,posion_plant_treatment,year,month,active_burrows,emmean,SE,df,lower.CL,upper.CL
2,pika,No S. chamaejasme,2023,August,256,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
3,pika,No S. chamaejasme,2023,June,56,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
3,pika,No S. chamaejasme,2023,July,95,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
3,pika,No S. chamaejasme,2023,August,41,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
4,pika,No S. chamaejasme,2023,June,64,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
4,pika,No S. chamaejasme,2023,July,132,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
4,pika,No S. chamaejasme,2023,August,99,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
1,no pika,S. chamaejasme,2023,June,19,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
1,no pika,S. chamaejasme,2023,July,7,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
1,no pika,S. chamaejasme,2023,August,10,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
2,no pika,S. chamaejasme,2023,June,26,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
2,no pika,S. chamaejasme,2023,July,35,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
2,no pika,S. chamaejasme,2023,August,26,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
3,no pika,S. chamaejasme,2023,June,12,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
3,no pika,S. chamaejasme,2023,July,24,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
3,no pika,S. chamaejasme,2023,August,28,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
4,no pika,S. chamaejasme,2023,June,11,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
4,no pika,S. chamaejasme,2023,July,9,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
4,no pika,S. chamaejasme,2023,August,15,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
1,pika,S. chamaejasme,2023,June,249,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
1,pika,S. chamaejasme,2023,July,302,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
1,pika,S. chamaejasme,2023,August,283,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
2,pika,S. chamaejasme,2023,June,456,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
2,pika,S. chamaejasme,2023,July,418,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
2,pika,S. chamaejasme,2023,August,351,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
3,pika,S. chamaejasme,2023,June,67,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
3,pika,S. chamaejasme,2023,July,112,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
3,pika,S. chamaejasme,2023,August,164,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
4,pika,S. chamaejasme,2023,June,95,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
4,pika,S. chamaejasme,2023,July,153,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
4,pika,S. chamaejasme,2023,August,204,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
